Наименование,Источник,Дата создания во внешней системе,Дата закрытия,Округ,Адрес,unom,Дата и время завершения события во
Загрязнение/замусоренность подъезда,EDC,2022-10-03 17:39:48.000000,2022-10-03 23:43:19.829000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Температура ГВС ниже нормы,ASUPR,2022-10-06 11:04:36.000000,2022-10-06 08:05:11.715000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Отсутствие освещения в местах общего пользования,EDC,2022-10-06 21:07:11.000000,2022-10-06 23:27:30.966000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Отсутствие ГВС в доме,EDC,2022-10-07 15:29:07.000000,2022-10-07 22:56:10.902000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Недогрев ГВС,EDC,2022-10-07 18:12:46.000000,2022-10-08 00:26:02.787000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Отсутствие ГВС в доме,EDC,2022-10-08 08:00:50.000000,2022-10-08 11:16:06.545000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Температура ГВС ниже нормы,ASUPR,2022-10-08 08:54:06.000000,2022-10-08 05:54:22.027000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Температура в квартире ниже нормативной,EDC,2022-10-08 10:26:11.000000,2022-10-08 11:16:12.348000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Отсутствие ГВС в доме,EDC,2022-10-09 09:06:34.000000,2022-10-10 01:40:35.429000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Отсутствие ГВС в доме,EDC,2022-10-09 09:04:37.000000,2022-10-10 01:42:27.249000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Температура ГВС ниже нормы,ASUPR,2022-10-09 11:14:20.000000,2022-10-09 11:33:37.691000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Отсутствие освещения в местах общего пользования,EDC,2022-10-12 09:13:49.000000,2022-10-13 00:23:44.012000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Низкий уровень сигнала GSM,ASUPR,2022-10-15 23:04:46.000000,2022-10-19 01:03:19.635000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-19 01:03:19.635000
Отсутствуют актуальные мгновенные значения,ASUPR,2022-10-17 05:34:06.000000,2022-10-17 11:54:43.038000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Отсутствуют актуальные мгновенные значения,ASUPR,2022-10-17 05:34:06.000000,2022-10-17 11:54:43.217000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Поломка лифта,EDC,2022-10-19 12:28:51.000000,2022-10-19 21:44:07.623000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-19 21:44:07.623000
Отсутствие освещения в местах общего пользования,EDC,2022-10-23 16:58:11.000000,2022-10-24 01:26:44.378000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-24 01:26:44.378000
Отсутствие освещения в местах общего пользования,EDC,2022-10-23 18:46:22.000000,2022-10-24 01:26:47.673000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-24 01:26:47.673000
Отсутствие освещения в местах общего пользования,EDC,2022-10-24 09:53:35.000000,2022-10-24 19:56:13.305000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-24 19:56:13.305000
Поломка освещения перед подъездом,EDC,2022-10-24 18:15:46.000000,2022-10-24 20:26:40.964000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-24 20:26:40.964000
Загрязнение лифта,NG,2022-10-25 12:01:44.666000,2022-10-25 16:00:15.143000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-25 16:00:15.143000
Нет связи с ПУ,ASUPR,2022-10-26 07:29:09.000000,2022-10-26 11:46:50.803000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-26 11:46:50.803000
Нет связи с ПУ,ASUPR,2022-10-26 07:36:47.000000,2022-10-26 11:37:48.630000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Температура в квартире ниже нормативной,EDC,2022-10-26 09:55:37.000000,2022-10-26 11:44:54.212000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-26 11:44:54.212000
Нет связи с ПУ,ASUPR,2022-10-26 10:54:53.000000,2022-10-26 12:03:20.833000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-26 12:03:20.833000
Отсутствие освещения в местах общего пользования,EDC,2022-10-26 12:46:46.000000,2022-10-26 21:36:57.463000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-26 21:36:57.463000
Нет связи с ПУ,ASUPR,2022-10-26 15:32:35.000000,2022-10-26 15:58:51.566000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-26 15:58:51.566000
Температура в квартире ниже нормативной,EDC,2022-10-27 13:08:06.000000,2022-10-27 15:58:20.025000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-27 15:58:20.024000
Температура в квартире ниже нормативной,EDC,2022-10-28 16:06:49.000000,2022-10-28 21:41:20.620000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-28 21:41:20.620000
Температура в квартире ниже нормативной,EDC,2022-10-28 18:58:39.000000,2022-10-28 21:56:31.210000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-28 21:56:31.209000
Температура в квартире ниже нормативной,EDC,2022-10-29 09:48:58.000000,2022-10-29 14:26:37.775000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-29 14:26:37.775000
Температура в квартире ниже нормативной,EDC,2022-10-29 12:03:21.000000,2022-10-29 16:10:27.197000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-29 16:10:27.197000
Загрязнение/замусоренность подъезда,EDC,2022-10-29 13:14:47.000000,2022-10-29 23:32:23.078000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-29 23:32:23.078000
Повреждение внутренней двери,EDC,2022-10-29 13:17:19.000000,2022-10-29 16:07:02.975000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-29 16:07:02.975000
Засор мусоропровода,EDC,2022-10-29 18:31:14.000000,2022-10-29 19:55:02.502000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-29 19:55:02.502000
Температура в квартире ниже нормативной,EDC,2022-10-29 22:07:29.000000,2022-10-29 23:32:23.559000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-29 23:32:23.559000
Низкий уровень сигнала GSM,ASUPR,2022-10-30 01:34:04.000000,2022-11-07 00:33:33.320000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-07 00:33:33.320000
Температура в квартире ниже нормативной,EDC,2022-10-30 11:25:42.000000,2022-10-30 12:10:51.107000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-30 12:10:51.107000
Загрязнение/замусоренность подъезда,EDC,2022-10-31 09:37:30.000000,2022-10-31 21:11:12.815000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-31 21:11:12.814000
Отсутствие ГВС в доме,EDC,2022-10-31 10:21:31.000000,2022-10-31 13:20:22.962000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-31 13:20:22.962000
Неудовлетворительное техническое содержание мусоропровода,EDC,2022-01-22 11:08:39.000000,2022-01-22 15:38:32.353000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-22 13:06:22.000000
Повреждение системы электропроводки/щитового оборудования,MGI,2022-01-21 13:46:13.983000,2022-01-21 23:35:46.461000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-21 22:50:43.442000
Температура в квартире ниже нормативной,EDC,2022-01-18 16:09:12.000000,2022-01-18 18:03:51.805000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-18 16:16:09.000000
Температура в квартире ниже нормативной,EDC,2022-01-17 13:01:01.000000,2022-01-17 16:09:12.427000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-17 15:29:10.000000
Повреждение элементов входной двери,EDC,2022-01-13 11:47:52.000000,2022-01-13 17:39:25.550000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-13 16:17:49.000000
Отсутствие ГВС в доме,EDC,2022-01-07 15:50:02.000000,2022-01-07 16:24:17.168000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-07 15:53:13.000000
Температура в квартире ниже нормативной,EDC,2022-01-05 17:57:17.000000,2022-01-05 19:55:30.497000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-05 19:20:15.000000
Температура в квартире ниже нормативной,EDC,2022-01-05 17:47:05.000000,2022-01-05 19:37:43.011000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-05 19:19:56.000000
Засор мусоропровода,EDC,2022-01-03 16:08:07.000000,2022-01-03 19:10:09.731000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-03 18:35:44.000000
Поломка лифта,NG,2022-01-03 09:20:39.788000,2022-01-03 21:24:29.031000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-03 21:09:27.070000
Повреждение элементов входной двери,EDC,2022-01-28 19:16:45.000000,2022-01-28 22:23:54.859000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-28 20:53:35.000000
Температура в квартире ниже нормативной,EDC,2022-03-28 11:25:02.000000,2022-03-28 15:19:31.888000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,
Температура в квартире ниже нормативной,EDC,2022-01-10 16:41:31.000000,2022-01-10 19:23:43.930000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-10 18:51:27.000000
Температура в квартире ниже нормативной,EDC,2022-01-10 14:57:58.000000,2022-01-10 16:26:24.799000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-10 16:00:58.000000
Температура в квартире ниже нормативной,EDC,2022-01-18 11:18:16.000000,2022-01-18 15:24:38.725000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-18 14:09:15.000000
Температура в квартире ниже нормативной,EDC,2022-01-30 10:38:57.000000,2022-01-30 13:38:58.105000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-30 12:31:16.000000
Температура в квартире ниже нормативной,EDC,2022-02-01 12:50:11.000000,2022-02-01 14:06:10.795000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-01 13:20:45.000000
Температура в квартире ниже нормативной,EDC,2022-02-01 13:33:40.000000,2022-02-01 20:58:16.056000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-01 15:39:33.000000
Температура в квартире ниже нормативной,EDC,2022-02-01 10:41:39.000000,2022-02-01 20:58:22.738000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-01 15:25:34.000000
Отсутствуют актуальные мгновенные значения,ASUPR,2022-02-28 03:03:20.000000,2022-02-28 00:13:12.864000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,
Температура в квартире ниже нормативной,EDC,2022-03-25 16:49:31.000000,2022-03-25 17:13:55.403000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,
Лифт требует ремонта,EDC,2022-01-28 18:41:46.000000,2022-01-28 23:25:04.966000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-28 21:55:36.000000
Наличие крыс/мышей/насекомых в местах общего пользования,EDC,2022-01-28 18:17:42.000000,2022-02-03 22:55:11.001000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-03 22:35:11.000000
Разрушение асвальта вокруг колодца,MOS_GAS,2022-04-11 19:54:36.000000,2022-04-11 22:36:21.387000,ВАО,"внутригородская территория муниципальный округ Соколиная Гора, проспект Будённого, земельный участок 16",5038404,
Запах газа в квартире,MOS_GAS,2022-11-12 15:41:08.000000,2023-04-03 01:40:13.465000,ВАО,"Щёлковское шоссе, дом 13, корпус 1",29889,2022-11-12 17:53:47.456000
Пожар; Задымление,MOS_GAS,2022-12-29 01:27:23.000000,2023-04-01 01:05:58.649000,ВАО,"Щёлковское шоссе, дом 13, корпус 1",29889,2022-12-29 06:28:27.452000
Температура в квартире ниже нормативной,EDC,2022-10-04 21:30:20.000000,2022-10-05 12:17:01.260000,ВАО,"Щёлковское шоссе, дом 13, корпус 1",29889,
Отсутствие ХВС в доме,EDC,2022-10-13 15:22:53.000000,2022-10-13 16:15:52.372000,ВАО,"Щёлковское шоссе, дом 13, корпус 1",29889,
Отсутствие ХВС в доме,EDC,2022-10-13 16:09:49.000000,2022-10-13 16:38:39.176000,ВАО,"Щёлковское шоссе, дом 13, корпус 1",29889,
Отсутствует циркуляция ГВС,ASUPR,2022-10-31 10:44:26.000000,2022-10-31 10:44:51.874000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,
Температура в квартире ниже нормативной,EDC,2022-10-31 11:52:53.000000,2022-10-31 15:21:04.201000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-31 15:21:04.201000
Температура в квартире ниже нормативной,EDC,2022-01-10 09:02:55.000000,2022-01-10 16:26:30.825000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-10 16:00:04.000000
Неисправность запирающего устройства,EDC,2022-10-13 16:11:28.000000,2022-10-13 17:14:36.980000,ВАО,"Щёлковское шоссе, дом 13, корпус 1",29889,
Отсутствие ХВС в доме,EDC,2022-10-13 17:01:53.000000,2022-10-13 18:03:18.159000,ВАО,"Щёлковское шоссе, дом 13, корпус 1",29889,
Повреждение системы электропроводки/щитового оборудования,EDC,2022-10-20 15:39:58.000000,2022-10-21 00:47:10.332000,ВАО,"Щёлковское шоссе, дом 13, корпус 1",29889,2022-10-21 00:47:09.461000
Температура в квартире ниже нормативной,EDC,2022-10-20 20:12:54.000000,2022-10-21 08:12:06.724000,ВАО,"Щёлковское шоссе, дом 13, корпус 1",29889,2022-10-21 08:12:06.724000
Температура ГВС ниже нормы,ASUPR,2022-10-31 12:14:18.000000,2022-11-01 00:24:01.226000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 00:24:00.854000
Температура в квартире ниже нормативной,EDC,2022-10-31 12:38:49.000000,2022-10-31 15:20:57.018000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-31 15:20:57.018000
Поломка освещения перед подъездом,MGI,2022-10-27 16:01:07.487000,2022-10-28 12:07:09.329000,ВАО,"Щёлковское шоссе, дом 13, корпус 1",29889,2022-10-28 12:07:09.329000
Неочищенная кровля,EDC,2022-01-31 09:00:19.000000,2022-01-31 10:46:12.110000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,2022-01-31 09:43:36.000000
Температура в квартире ниже нормативной,EDC,2022-10-31 14:56:41.000000,2022-10-31 20:10:16.459000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-31 20:10:16.458000
Отсутствие ГВС в доме,EDC,2022-10-31 15:15:41.000000,2022-10-31 22:14:49.814000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-31 22:14:49.814000
Температура в квартире ниже нормативной,EDC,2022-01-18 15:13:52.000000,2022-01-18 18:03:40.375000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-18 16:18:19.000000
Температура в квартире ниже нормативной,EDC,2022-02-05 08:02:08.000000,2022-02-05 16:04:43.214000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-05 15:57:32.000000
Температура в квартире ниже нормативной,EDC,2022-03-10 09:32:04.000000,2022-03-10 14:02:03.098000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,
Температура в квартире ниже нормативной,EDC,2022-03-21 09:14:44.000000,2022-03-21 11:06:21.822000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,
Температура в квартире ниже нормативной,EDC,2022-03-27 18:41:54.000000,2022-03-27 19:55:58.944000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,
Температура в квартире ниже нормативной,EDC,2022-01-27 16:09:22.000000,2022-01-27 17:27:20.948000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-27 16:25:54.000000
Аварийная протечка с кровли,EDC,2022-02-10 12:51:26.000000,2022-02-10 14:50:58.663000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-10 14:37:16.000000
Протечка с кровли,EDC,2022-02-11 18:28:51.000000,2022-02-11 20:04:14.082000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-11 19:51:40.000000
Повреждение кровли,EDC,2022-02-11 11:22:13.000000,2022-02-11 12:12:05.477000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-11 12:05:15.000000
Протечка с кровли,EDC,2022-02-12 10:44:49.000000,2022-02-12 12:10:12.235000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-12 11:51:56.000000
Температура в квартире ниже нормативной,EDC,2022-03-26 07:51:59.000000,2022-03-26 08:00:56.501000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,
Протечка с кровли,EDC,2022-02-14 10:31:42.000000,2022-02-14 15:45:48.625000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-14 15:39:38.000000
Лифт требует ремонта,EDC,2022-02-14 01:25:57.000000,2022-02-14 10:06:03.373000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-14 09:54:55.000000
Отсутствие ГВС в доме,EDC,2022-10-31 15:46:34.000000,2022-10-31 22:14:46.419000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-31 22:14:46.419000
Температура в квартире ниже нормативной,EDC,2022-10-31 15:47:42.000000,2022-10-31 20:10:29.069000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-31 20:10:29.069000
Температура в квартире ниже нормативной,EDC,2022-10-31 15:57:28.000000,2022-10-31 20:10:08.711000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-31 20:10:08.711000
Температура в квартире ниже нормативной,EDC,2022-10-31 16:07:17.000000,2022-10-31 20:10:09.239000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-10-31 20:10:09.239000
Температура в квартире ниже нормативной,EDC,2022-10-31 20:04:54.000000,2022-11-01 07:38:28.363000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 07:38:28.363000
Неочищенная кровля,EDC,2022-02-01 09:08:10.000000,2022-02-01 10:42:05.123000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,2022-02-01 09:28:12.000000
Температура в квартире ниже нормативной,EDC,2022-03-26 10:25:20.000000,2022-03-26 14:57:53.279000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Повреждение элементов входной двери,NG,2022-02-26 15:41:31.606000,2022-02-26 18:15:52.461000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Аварийное повреждение лестницы,EDC,2022-02-28 07:48:46.000000,2022-02-28 16:43:13.444000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Отсутствие ГВС в доме,EDC,2022-02-26 21:41:31.000000,2022-02-26 22:26:32.616000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Температура в квартире ниже нормативной,EDC,2022-10-31 20:07:45.000000,2022-11-01 07:38:24.889000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 07:38:24.889000
Температура в квартире ниже нормативной,EDC,2022-11-01 09:31:46.000000,2022-11-01 10:11:28.468000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 10:11:28.468000
Температура в квартире ниже нормативной,EDC,2022-03-24 18:14:30.000000,2022-03-24 18:37:42.239000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Температура в квартире ниже нормативной,EDC,2022-03-04 12:21:42.000000,2022-03-04 13:20:45.624000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Повреждение элементов входной двери,EDC,2022-02-20 18:13:45.000000,2022-02-20 21:53:52.193000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Отсутствие освещения в местах общего пользования,EDC,2022-11-01 09:50:45.000000,2022-11-01 21:18:13.576000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 21:18:13.575000
Недогрев ГВС,EDC,2022-11-01 17:15:01.000000,2022-11-01 18:46:26.520000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 18:46:26.520000
Повреждение элементов входной двери,EDC,2022-01-31 12:37:18.000000,2022-01-31 14:18:25.920000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,2022-01-31 13:22:12.000000
Протечка с кровли,EDC,2022-03-03 10:40:27.000000,2022-03-03 16:16:34.869000,ВАО,"внутригородская территория муниципальный округ Вешняки, Вешняковская улица, дом 41, корпус 1",3821,
Температура в квартире ниже нормативной,EDC,2022-11-01 15:10:48.000000,2022-11-01 16:20:35.946000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 16:20:35.946000
Температура в квартире ниже нормативной,EDC,2022-11-01 15:51:05.000000,2022-11-01 16:20:31.650000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 16:20:31.650000
Недогрев ГВС,EDC,2022-11-01 16:18:55.000000,2022-11-01 18:46:27.619000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 18:46:27.619000
Засор мусоропровода,EDC,2022-01-16 11:22:32.000000,2022-01-16 12:40:56.005000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-16 12:03:09.000000
Температура в квартире ниже нормативной,EDC,2022-01-09 12:01:15.000000,2022-01-09 16:36:59.353000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-01-09 16:08:14.000000
Температура в квартире ниже нормативной,EDC,2022-03-25 16:35:20.000000,2022-03-25 16:52:51.201000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,
Температура в квартире ниже нормативной,EDC,2022-03-27 14:42:40.000000,2022-03-27 16:13:52.151000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,
Температура в квартире ниже нормативной,EDC,2022-03-27 15:45:06.000000,2022-03-27 16:14:03.482000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,
Температура в квартире ниже нормативной,EDC,2022-02-03 18:53:33.000000,2022-02-03 19:54:48.261000,ВАО,"внутригородская территория муниципальный округ Новогиреево, улица Алексея Дикого, дом 20",6551,2022-02-03 19:42:30.000000
Открыт колодец на газоне,MVK,2022-01-13 11:39:19.000000,2022-05-24 02:53:57.301000,ВАО,"внутригородская территория муниципальный округ Соколиная Гора, 3-я улица Соколиной Горы, дом 15",5281892,
Открыт колодец на газоне,MVK,2022-01-13 11:40:37.000000,2022-05-24 02:53:56.942000,ВАО,"внутригородская территория муниципальный округ Соколиная Гора, 3-я улица Соколиной Горы, дом 15",5281892,
Открыт колодец,MOS_GAS,2022-01-13 14:38:42.000000,2022-01-13 16:30:25.567000,ВАО,"внутригородская территория муниципальный округ Соколиная Гора, 3-я улица Соколиной Горы, дом 15",5281892,
Температура в квартире ниже нормативной,EDC,2022-11-01 16:28:52.000000,2022-11-01 18:49:31.201000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 18:49:31.200000
Температура в квартире ниже нормативной,EDC,2022-11-01 16:33:27.000000,2022-11-01 18:49:31.370000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 18:49:31.370000
Температура в квартире ниже нормативной,EDC,2022-11-01 16:36:00.000000,2022-11-01 18:49:30.786000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 18:49:30.786000
Температура в квартире ниже нормативной,EDC,2022-11-01 17:13:54.000000,2022-11-01 18:49:28.120000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-01 18:49:28.120000
Недогрев ГВС,EDC,2022-11-01 18:46:30.000000,2022-11-02 16:13:42.202000,ВАО,"внутригородская территория муниципальный округ Метрогородок, Открытое шоссе, дом 22",18117,2022-11-02 16:13:42.202000
